epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.114,1.46825,0.72734,0.96582,0.84444,0.58826,0.65738,0.34848,1.41884,0.63959,0.97679,9.99379e-05,9.99379e-05,0.00016205
2,305.045,1.42145,0.67305,0.95335,0.84849,0.59124,0.6611,0.35276,1.41341,0.63379,0.9753,9.97261e-05,9.97261e-05,9.97261e-05
3,456.927,1.43076,0.67513,0.95735,0.84374,0.59408,0.66137,0.35118,1.41773,0.63516,0.97476,9.89074e-05,9.89074e-05,9.89074e-05
4,611.26,1.42233,0.67021,0.95413,0.84532,0.5934,0.66322,0.35478,1.41065,0.63314,0.97496,9.75529e-05,9.75529e-05,9.75529e-05
5,811.245,1.43283,0.67626,0.95315,0.84349,0.59189,0.65843,0.34938,1.41938,0.6359,0.97664,9.56773e-05,9.56773e-05,9.56773e-05
6,965.046,1.42415,0.66823,0.9538,0.84596,0.59335,0.66224,0.35165,1.42104,0.63431,0.97671,9.33013e-05,9.33013e-05,9.33013e-05
7,1119.31,1.41667,0.66846,0.95322,0.84737,0.59241,0.66148,0.35194,1.4142,0.63254,0.97542,9.04509e-05,9.04509e-05,9.04509e-05
8,1270.51,1.41644,0.66557,0.95181,0.84705,0.59389,0.66203,0.35142,1.42104,0.63213,0.97621,8.71574e-05,8.71574e-05,8.71574e-05
9,1440.77,1.42711,0.67088,0.95241,0.84477,0.59105,0.65986,0.35087,1.41928,0.63366,0.97778,8.34567e-05,8.34567e-05,8.34567e-05
10,1597.31,1.42044,0.66929,0.95479,0.85083,0.59365,0.66424,0.35388,1.41774,0.63337,0.97617,7.93895e-05,7.93895e-05,7.93895e-05
11,1826.07,1.41848,0.66714,0.95175,0.84974,0.59418,0.66449,0.3544,1.41325,0.6304,0.97665,7.50003e-05,7.50003e-05,7.50003e-05
12,2029.6,1.41977,0.66554,0.9525,0.84682,0.59458,0.66253,0.35314,1.41679,0.63157,0.97724,7.03371e-05,7.03371e-05,7.03371e-05
13,2178.12,1.4106,0.66175,0.94887,0.84931,0.59273,0.66298,0.35345,1.41769,0.63087,0.97595,6.54512e-05,6.54512e-05,6.54512e-05
14,2614.2,1.4139,0.66515,0.95166,0.84542,0.59405,0.66274,0.3537,1.41795,0.63138,0.9761,6.0396e-05,6.0396e-05,6.0396e-05
15,4837.31,1.41504,0.66582,0.95067,0.84831,0.59477,0.66358,0.3542,1.41467,0.63082,0.97479,5.52269e-05,5.52269e-05,5.52269e-05
16,5096.93,1.41623,0.66799,0.95222,0.8479,0.59276,0.66239,0.35261,1.41759,0.62993,0.97574,5.00005e-05,5.00005e-05,5.00005e-05
17,5250.07,1.41382,0.66035,0.95066,0.84694,0.59443,0.66266,0.35396,1.41374,0.62937,0.97476,4.47741e-05,4.47741e-05,4.47741e-05
18,5403.73,1.41429,0.66275,0.94912,0.84595,0.59556,0.66255,0.3534,1.41558,0.62798,0.97528,3.9605e-05,3.9605e-05,3.9605e-05
19,5555.88,1.42044,0.6662,0.94673,0.84791,0.5941,0.66333,0.35398,1.41495,0.62748,0.97541,3.45498e-05,3.45498e-05,3.45498e-05
20,5710.89,1.40964,0.66123,0.94928,0.84781,0.594,0.66229,0.35312,1.41521,0.62804,0.97517,2.96639e-05,2.96639e-05,2.96639e-05
21,5925.57,1.37734,0.63711,0.95304,0.84415,0.59338,0.66034,0.35115,1.41977,0.63194,0.97669,2.50008e-05,2.50008e-05,2.50008e-05
22,6074.04,1.37368,0.63089,0.95211,0.84601,0.59287,0.66019,0.35162,1.41806,0.6311,0.97592,2.06115e-05,2.06115e-05,2.06115e-05
23,6225.68,1.3714,0.63024,0.95084,0.84814,0.59483,0.66243,0.35336,1.41557,0.62965,0.97534,1.65443e-05,1.65443e-05,1.65443e-05
24,6380.77,1.3742,0.63266,0.95,0.84567,0.59453,0.6614,0.35135,1.41937,0.63048,0.97528,1.28436e-05,1.28436e-05,1.28436e-05
25,6530.43,1.37158,0.63283,0.95184,0.8456,0.59379,0.66138,0.35267,1.41648,0.62898,0.97527,9.55005e-06,9.55005e-06,9.55005e-06
26,6680.03,1.37718,0.63396,0.94996,0.84469,0.59549,0.66165,0.35308,1.41545,0.62876,0.97548,6.69966e-06,6.69966e-06,6.69966e-06
27,6829.73,1.37132,0.6305,0.9508,0.84436,0.59589,0.66207,0.3531,1.41577,0.62841,0.97566,4.32368e-06,4.32368e-06,4.32368e-06
28,6981.83,1.37055,0.63033,0.95132,0.84529,0.59498,0.6619,0.35276,1.41739,0.629,0.97572,2.44815e-06,2.44815e-06,2.44815e-06
29,7131.14,1.3785,0.63508,0.95096,0.84574,0.59488,0.66175,0.35275,1.4168,0.62886,0.97572,1.09361e-06,1.09361e-06,1.09361e-06
30,7282.11,1.37852,0.63464,0.94942,0.84588,0.59507,0.66171,0.35275,1.41712,0.62889,0.97575,2.74902e-07,2.74902e-07,2.74902e-07
